,id,State,Jurisdiction,AbbreviatedDistrict,ZoneAcres,FedStateAcres,MunicipalAcres,State_from_zoning,Jurisdiction_from_zoning,County,Abbreviated District Name,Full District Name,District Mapped,District Mapped But Extinct,Overlay,Type of Zoning District,Affordable Housing District,Elderly Housing District,1-Family Treatment,2-Family Treatment,3-Family Treatment,4+-Family Treatment,1-Family Min. Lot (ACRES),1-Family Front Setback (# of feet),1-Family Side Setback (# of feet),1-Family Rear Setback (# of feet),1-Family Max. Lot Coverage - Buildings (%),1-Family Max. Lot Coverage - Buildings & Impervious Surface (%),1-Family Min. # Parking Spaces,1-Family Max. Height (# of stories),1-Family Max. Height (# of feet),1-Family Floor to Area Ratio,1-Family Min. Unit Size (SF),2-Family Affordable Housing Only,2-Family Elderly Housing Only,2-Family Min. Lot (ACRES),2-Family Max. Density (UNITS/ACRE),2-Family Front Setback (# of feet),2-Family Side Setback (# of feet),2-Family Rear Setback (# of feet),2-Family Max. Lot Coverage - Buildings (%),2-Family Max. Lot Coverage - Buildings & Impervious Surface (%),2-Family Min. # Parking Spaces Per Studio or 1BR,2-Family Min. # Parking Spaces Per 2+ BR,2-Family Max. Height (# of stories),2-Family Max. Height (# of feet),2-Family Floor to Area Ratio,2-Family Min. Unit Size (SF),3-Family Affordable Housing Only,3-Family Elderly Housing Only,3-Family Min. Lot (ACRES),3-Family Max. Density (UNITS/ACRE),3-Family Front Setback (# of feet),3-Family Side Setback (# of feet),3-Family Rear Setback (# of feet),3-Family Max. Lot Coverage - Buildings (%),3-Family Max. Lot Coverage - Buildings & Impervious Surface (%),3-Family Min. # Parking Spaces Per Studio or 1BR,3-Family Min. # Parking Spaces Per 2+ BR,3-Family Connection to Sewer and/or Water Required,3-Family Connection or Proximity to Public Transit Required,3-Family Max. Height (# of stories),3-Family Max. Height (# of feet),3-Family Floor to Area Ratio,3-Family Min. Unit Size (SF),3-Family Max. # Bedrooms Per Unit,4+-Family Affordable Housing Only,4+-Family Elderly Housing Only,4+-Family Min. Lot (ACRES),4+-Family Max. Density (UNITS/ACRE),4+-Family Front Setback (# of feet),4+-Family Side Setback (# of feet),4+-Family Rear Setback (# of feet),4+-Family Max. Lot Coverage - Buildings (%),4+-Family Max. Lot Coverage - Buildings & Impervious Surface (%),4+-Family Min. # Parking Spaces Per Studio or 1BR,4+-Family Min. # Parking Spaces Per 2+ BR,4+-Family Connection to Sewer and/or Water Required,4+-Family Connection or Proximity to Public Transit Required,4+-Family Max. Height (# of stories),4+-Family Max. Height (# of feet),4+-Family Floor to Area Ratio,4+-Family Min. Unit Size (SF),4+-Family Max. # Bedrooms Per Unit,4+-Family Max. # Units Per Building,Affordable Housing (AH) Treatment,AH - Definition,AH - Elderly Housing Only,AH Min. Lot (ACRES),AH Max. Density (UNITS/ACRE),AH Min. # Parking Spaces Per Studio or 1BR,AH Min. # Parking Spaces Per 2+ BR,AH Connection to Sewer and/or Water Required,AH Connection or Proximity to Public Transit Required,AH Min. Unit Size (SF),AH Max. # Bedrooms Per Unit,AH Max. # Units Per  Building,Accessory Dwelling Unit (ADU) Treatment,ADU Employee or Family Occupancy Required,ADU Renter Occupancy Prohibited,ADU Owner Occupancy Required,ADU Elderly Housing Only,ADU Min. Lot (acres),ADU Min. # Parking Spaces (Additional to Main Unit),"ADU Restricted to Only Primary Structure (i.e., No Outbuildings like Garages)",ADU Max. Size (% of Main Unit),ADU Max. Size (SF),ADU Max. # Bedrooms Per Unit,Planned Residential Development (PRD) Treatment,Mobile or Manufactured Home Park (Y/N),PRD Min. Lot (Acres),PRD Max. Density (Units/Acre),PRD Max. # Units Per Development,Special Notes,Tooltip Notes,AduMaxSizeLimit,1MUS,2MUS,3MUS,4MUS,MUS,1MLS,2MLS,3MLS,4MLS,1E,2E,3E,4E,AEld,PK
10,HI--HAWAII--A20A,HI,Hawaii,A-20a,711225.3233097799,273844.2491926328,437381.0741171471,HI,Hawaii,Hawaii,A-20a,Agricultural District - minimum 20 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,20,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,,,,,,,,,,No,No,,,,,,No,No,,,,,,,,,,No,No,,,,,,,Not Mentioned,,,,,,,No,No,,,,Allowed/Conditional,No,No,No,No,20,2,No,NONE,NONE,NONE,Prohibited,No,,,,,,True,True,False,False,False,True,E,A,A,A,No,No,No,No,No,2 for 1-family
11,HI--HAWAII--A255A,HI,Hawaii,A-255a,230.35515403735678,0.0,230.35515403735678,HI,Hawaii,Hawaii,A-255a,Agricultural District - minimum  255 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,255,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,,,,,,,,,,No,No,,,,,,No,No,,,,,,,,,,No,No,,,,,,,Not Mentioned,,,,,,,No,No,,,,Allowed/Conditional,No,No,No,No,255,2,No,NONE,NONE,NONE,Prohibited,No,,,,,,True,True,False,False,False,True,E,A,A,A,No,No,No,No,No,2 for 1-family
12,HI--HAWAII--A2A,HI,Hawaii,A-2a,323.0305981996079,5.7336059531708325e-06,323.0305924660019,HI,Hawaii,Hawaii,A-2a,Agricultural District - minimum  2 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,5,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,,,,,,,,,,No,No,,,,,,No,No,,,,,,,,,,No,No,,,,,,,Not Mentioned,,,,,,,No,No,,,,Allowed/Conditional,No,No,No,No,2,2,No,NONE,NONE,NONE,Prohibited,No,,,,,,True,True,False,False,False,True,E,A,A,A,No,No,No,No,No,2 for 1-family
13,HI--HAWAII--A35A,HI,Hawaii,A-35a,76.02839151495361,0.0,76.02839151495361,HI,Hawaii,Hawaii,A-35a,Agricultural District - minimum 35 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,35,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,,,,,,,,,,No,No,,,,,,No,No,,,,,,,,,,No,No,,,,,,,Not Mentioned,,,,,,,No,No,,,,Allowed/Conditional,No,No,No,No,35,2,No,NONE,NONE,NONE,Prohibited,No,,,,,,True,True,False,False,False,True,E,A,A,A,No,No,No,No,No,2 for 1-family
14,HI--HAWAII--A3A,HI,Hawaii,A-3a,63757.96617467243,5759.522783854423,57998.44339081801,HI,Hawaii,Hawaii,A-3a,Agricultural District - minimum 3 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,5,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,,,,,,,,,,No,No,,,,,,No,No,,,,,,,,,,No,No,,,,,,,Not Mentioned,,,,,,,No,No,,,,Allowed/Conditional,No,No,No,No,3,2,No,NONE,NONE,NONE,Prohibited,No,,,,,,True,True,False,False,False,True,E,A,A,A,No,No,No,No,No,2 for 1-family
15,HI--HAWAII--A400A,HI,Hawaii,A-400a,418.23598923423503,416.96873230893664,1.2672569252983976,HI,Hawaii,Hawaii,A-400a,Agricultural District - minimum 400 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,400,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,,,,,,,,,,No,No,,,,,,No,No,,,,,,,,,,No,No,,,,,,,Not Mentioned,,,,,,,No,No,,,,Allowed/Conditional,No,No,No,No,400,2,No,NONE,NONE,NONE,Prohibited,No,,,,,,True,True,False,False,False,True,E,A,A,A,No,No,No,No,No,2 for 1-family
16,HI--HAWAII--A40A,HI,Hawaii,A-40a,294240.3477571428,157152.31705391608,137088.03070322672,HI,Hawaii,Hawaii,A-40a,Agricultural District - minimum 40 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,40,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,,,,,,,,,,No,No,,,,,,No,No,,,,,,,,,,No,No,,,,,,,Not Mentioned,,,,,,,No,No,,,,Allowed/Conditional,No,No,No,No,40,2,No,NONE,NONE,NONE,Prohibited,No,,,,,,True,True,False,False,False,True,E,A,A,A,No,No,No,No,No,2 for 1-family
17,HI--HAWAII--A500A,HI,Hawaii,A-500a,556.5436530165432,7.573686442924018,548.9699665736192,HI,Hawaii,Hawaii,A-500a,Agricultural District - minimum 500 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,500,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,,,,,,,,,,No,No,,,,,,No,No,,,,,,,,,,No,No,,,,,,,Not Mentioned,,,,,,,No,No,,,,Allowed/Conditional,No,No,No,No,500,2,No,NONE,NONE,NONE,Prohibited,No,,,,,,True,True,False,False,False,True,E,A,A,A,No,No,No,No,No,2 for 1-family
18,HI--HAWAII--A5A,HI,Hawaii,A-5a,218305.67069833932,71669.71672103908,146635.95397730026,HI,Hawaii,Hawaii,A-5a,Agricultural District - minimum 5 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,5,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,,,,,,,,,,No,No,,,,,,No,No,,,,,,,,,,No,No,,,,,,,Not Mentioned,,,,,,,No,No,,,,Allowed/Conditional,No,No,No,No,5,2,No,NONE,NONE,NONE,Prohibited,No,,,,,,True,True,False,False,False,True,E,A,A,A,No,No,No,No,No,2 for 1-family
19,HI--HAWAII--A600A,HI,Hawaii,A-600a,1234.9313183399615,2.455598339506127e-05,1234.9312937839782,HI,Hawaii,Hawaii,A-600a,Agricultural District - minimum 600 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,600,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,,,,,,,,,,No,No,,,,,,No,No,,,,,,,,,,No,No,,,,,,,Not Mentioned,,,,,,,No,No,,,,Allowed/Conditional,No,No,No,No,600,2,No,NONE,NONE,NONE,Prohibited,No,,,,,,True,True,False,False,False,True,E,A,A,A,No,No,No,No,No,2 for 1-family
20,HI--HAWAII--A6A,HI,Hawaii,A-6a,40.18280529368994,0.03615247532286832,40.14665281836707,HI,Hawaii,Hawaii,A-6a,Agricultural District - minimum 6 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,6,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,,,,,,,,,,No,No,,,,,,No,No,,,,,,,,,,No,No,,,,,,,Not Mentioned,,,,,,,No,No,,,,Allowed/Conditional,No,No,No,No,6,2,No,NONE,NONE,NONE,Prohibited,No,,,,,,True,True,False,False,False,True,E,A,A,A,No,No,No,No,No,2 for 1-family
21,HI--HAWAII--A7A,HI,Hawaii,A-7a,41.44177973402613,0.0,41.44177973402613,HI,Hawaii,Hawaii,A-7a,Agricultural District - minimum 7 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,7,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,,,,,,,,,,No,No,,,,,,No,No,,,,,,,,,,No,No,,,,,,,Not Mentioned,,,,,,,No,No,,,,Allowed/Conditional,No,No,No,No,7,2,No,NONE,NONE,NONE,Prohibited,No,,,,,,True,True,False,False,False,True,E,A,A,A,No,No,No,No,No,2 for 1-family
22,HI--HAWAII--A8000A,HI,Hawaii,A-8000a,8012.938898209017,0.0,8012.938898209017,HI,Hawaii,Hawaii,A-8000a,Agricultural District - minimum 8000 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,8000,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,,,,,,,,,,No,No,,,,,,No,No,,,,,,,,,,No,No,,,,,,,Not Mentioned,,,,,,,No,No,,,,Allowed/Conditional,No,No,No,No,8000,2,No,NONE,NONE,NONE,Prohibited,No,,,,,,True,True,False,False,False,True,E,A,A,A,No,No,No,No,No,2 for 1-family
23,HI--HAWAII--A80A,HI,Hawaii,A-80a,972.2009516132789,3.8412602573393153,968.3596913559396,HI,Hawaii,Hawaii,A-80a,Agricultural District - minimum 80 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,80,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,,,,,,,,,,No,No,,,,,,No,No,,,,,,,,,,No,No,,,,,,,Not Mentioned,,,,,,,No,No,,,,Allowed/Conditional,No,No,No,No,80,2,No,NONE,NONE,NONE,Prohibited,No,,,,,,True,True,False,False,False,True,E,A,A,A,No,No,No,No,No,2 for 1-family
24,HI--HAWAII--A8A,HI,Hawaii,A-8a,18.77680569137071,0.0,18.77680569137071,HI,Hawaii,Hawaii,A-8a,Agricultural District - minimum 8 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,8,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,,,,,,,,,,No,No,,,,,,No,No,,,,,,,,,,No,No,,,,,,,Not Mentioned,,,,,,,No,No,,,,Allowed/Conditional,No,No,No,No,8,2,No,NONE,NONE,NONE,Prohibited,No,,,,,,True,True,False,False,False,True,E,A,A,A,No,No,No,No,No,2 for 1-family
25,HI--HAWAII--A900A,HI,Hawaii,A-900a,1005.976927544988,2.783986951766699,1003.1929405932214,HI,Hawaii,Hawaii,A-900a,Agricultural District - minimum 900 acres,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,900,30,20,30,NONE,NONE,2,NONE,35,NONE,NONE,,,,,,,,,,,,,,,,No,No,,,,,,,,,,No,No,,,,,,No,No,,,,,,,,,,No,No,,,,,,,Not Mentioned,,,,,,,No,No,,,,Allowed/Conditional,No,No,No,No,900,2,No,NONE,NONE,NONE,Prohibited,No,,,,,,True,True,False,False,False,True,E,A,A,A,No,No,No,No,No,2 for 1-family
26,HI--HAWAII--APD,HI,Hawaii,APD,211.12836873394812,0.04503063527424179,211.0833380986739,HI,Hawaii,Hawaii,APD,Agricultural Project Districts,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Prohibited,Prohibited,Prohibited,1,,,,NONE,NONE,2,NONE,,NONE,NONE,,,,,,,,,,,,,,,,No,No,,,,,,,,,,No,No,,,,,,No,No,,,,,,,,,,No,No,,,,,,,Not Mentioned,,,,,,,No,No,,,,Allowed/Conditional,No,No,No,No,0.23,2,No,NONE,NONE,NONE,Public Hearing,No,,,NONE,,,True,True,False,False,False,True,D,A,A,A,No,No,No,No,No,2 for 1-family
27,HI--HAWAII--CDH,HI,Hawaii,CDH,76.81292545435142,8.864754306279291,67.94817114807212,HI,Hawaii,Hawaii,CDH,Downtown Hilo Commercial District,Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.17,0,0,0,NONE,NONE,1,NONE,120,NONE,NONE,No,No,0.17,12,0,0,0,NONE,NONE,2,2,NONE,120,NONE,NONE,No,No,0.17,87,0,0,0,NONE,NONE,1.25,1.25,No,No,NONE,120,NONE,NONE,NONE,No,No,0.17,87,0,0,0,NONE,NONE,1.25,1.25,,,NONE,120,NONE,NONE,NONE,NONE,Not Mentioned,"Chapter 25 - Zoning does not list affordability requirements for development, however Chapter 12 does list the requirement of the County's affordable credit system.",,,,,,No,No,,,,Prohibited,No,No,No,No,,,,,,,Public Hearing,No,0.17,87.0,NONE,,,False,True,True,True,True,True,B,B,B,B,No,No,No,No,No,1 for 1-family; 2 for 2-family (total); 2 for 2-family (per studio/1br); 1.25 for 3-family (total); 1.25 for 3-family (per studio/1br); 1.25 for 4+ family (total); 1.25 for 2+ family (per studio/1br)
28,HI--HAWAII--CG10,HI,Hawaii,CG-10,271.4655251214458,0.007366202426283515,271.4581589190195,HI,Hawaii,Hawaii,CG-10,"General Commercial - 10,000 square feet",Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.23,15,0,15,NONE,NONE,2,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.23,8,15,0,15,NONE,NONE,4,4,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.23,35,15,0,15,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,No,No,0.23,35,15,0,15,NONE,NONE,1.25,1.25,,,NONE,45,NONE,NONE,NONE,NONE,Not Mentioned,"Chapter 25 - Zoning does not list affordability requirements for development, however Chapter 12 does list the requirement of the County's affordable credit system.",,,,,,No,No,,,,Prohibited,No,No,No,No,,,,,,,Public Hearing,No,0.23,35.0,NONE,,,False,True,True,True,True,True,B,B,B,B,No,No,No,No,No,2 for 1-family; 4 for 2-family (total); 4 for 2-family (per studio/1br); 1.25 for 3-family (total); 1.25 for 3-family (per studio/1br); 1.25 for 4+ family (total); 1.25 for 2+ family (per studio/1br)
29,HI--HAWAII--CG20,HI,Hawaii,CG-20,187.21052449898647,54.02528211628388,133.1852423827026,HI,Hawaii,Hawaii,CG-20,"General Commercial - 20,000 square feet",Yes,No,No,Mixed with Residential,No,No,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,Allowed/Conditional,0.46,15,0,15,NONE,NONE,2,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.46,4,15,0,15,NONE,NONE,4,4,NONE,45; 120 in Hilo,NONE,NONE,No,No,0.46,35,15,0,15,NONE,NONE,1.25,1.25,No,No,NONE,45,NONE,NONE,NONE,No,No,0.46,35,15,0,15,NONE,NONE,1.25,1.25,,,NONE,45,NONE,NONE,NONE,NONE,Not Mentioned,"Chapter 25 - Zoning does not list affordability requirements for development, however Chapter 12 does list the requirement of the County's affordable credit system.",,,,,,No,No,,,,Prohibited,No,No,No,No,,,,,,,Public Hearing,No,0.46,35.0,NONE,,,False,True,True,True,True,True,B,B,B,B,No,No,No,No,No,2 for 1-family; 4 for 2-family (total); 4 for 2-family (per studio/1br); 1.25 for 3-family (total); 1.25 for 3-family (per studio/1br); 1.25 for 4+ family (total); 1.25 for 2+ family (per studio/1br)
